序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
324,124,HSSCTEI,恒生港股通旅游主题指数,1495.92,0.78,0.05,1494.59,1498.19,1462.38,1495.14,0.0,2754845648.0
325,124,HSSCSM,恒生港股通国有企业动量指数,2924.7,1.32,0.05,2916.58,2932.6,2891.26,2923.38,0.0,12756739328.0
326,124,HSSCCSM,恒生港股通央企动量指数,2745.59,0.94,0.03,2738.77,2752.74,2714.65,2744.65,0.0,10000388096.0
327,124,HSMOGI,恒生内地石油天然指数,1832.61,0.58,0.03,1822.96,1845.53,1808.9,1832.03,0.0,3501032624.0
328,124,HSSCPCI,恒生港股通地产建筑业(可投资),1198.37,0.24,0.02,1197.5,1201.54,1175.46,1198.13,0.0,3720700416.0
329,124,SZHKT,恒生深港资讯科技指数,,,,,,,12196.34,,
330,124,SZHKRE,恒生深港房地产指数,,,,,,,3598.77,,
331,124,SZHKIF,恒生深港基建运输指数,,,,,,,3035.21,,
332,124,SZHKI,恒生深港基建运输指数,,,,,,,5167.32,,
333,124,SZHKF,恒生深港金融指数,,,,,,,5511.46,,
334,124,SZHKC,恒生深港消费类指数,,,,,,,3723.05,,
335,124,HSIDPI,恒指股息点指数,,,,,,,660.1,,
336,124,HSCNE,恒生中国新经济指数,,,,,,,6764.43,,
337,124,HSCEIDPI,恒生国企股息点指数,,,,,,,229.54,,
338,124,HSCIPC,恒生地产建筑业指数,1505.49,-0.59,-0.04,1505.76,1510.11,1479.53,1506.08,882693840.0,4156623216.0
339,124,HSPNTRI,恒生地产分类指数(NTR),54710.89,-45.43,-0.08,54723.26,54911.8,53730.27,54756.32,0.0,2523099664.0
340,124,HSP,恒生地产指数,16509.64,-13.71,-0.08,16513.38,16570.27,16213.73,16523.35,154746494.0,2523099664.0
341,124,HSPGTRI,恒生地产分类指数(GTR),54710.88,-45.44,-0.08,54723.26,54911.8,53730.27,54756.32,0.0,2523099664.0
342,124,HSSCHKY,恒生港股通高股息率指数,1816.71,-2.35,-0.13,1815.15,1821.35,1796.77,1819.06,0.0,14477723648.0
343,124,HSMPI,恒生中国内地地产指数,1299.78,-2.0,-0.15,1301.36,1305.81,1264.23,1301.78,0.0,1265437024.0
