代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000072,工业等权,2585.22,26.345,1.03,2558.8749,2548.4978,2585.22,2545.2186,23833407,23812395154
sh000073,可选等权,2809.8803,53.625,1.946,2756.255,2751.7214,2809.8803,2749.7284,15372156,18186940348
sh000074,消费等权,7474.1266,44.305,0.596,7429.8213,7392.6566,7474.1266,7377.2037,3071600,11985852613
sh000075,医药等权,7121.2265,93.182,1.326,7028.0443,7003.5614,7121.2265,6976.4615,4203706,14320115280
sh000076,金融等权,4178.1819,11.594,0.278,4166.5879,4156.1515,4195.6058,4145.9308,20874422,19193880001
sh000077,信息等权,3459.6104,157.064,4.756,3302.5464,3280.0641,3459.9342,3270.3814,14112087,40666939186
sh000078,电信等权,2674.3404,87.953,3.401,2586.3872,2586.4684,2674.3404,2581.2594,14254037,17227585655
sh000079,公用等权,2282.032,13.03,0.574,2269.0024,2262.6678,2282.5876,2255.8936,11300933,7725824753
sh000090,上证流通,1087.3206,15.441,1.441,1071.8792,1067.9533,1087.3206,1066.107,360668135,398085717950
sh000091,沪财中小,9837.1508,204.714,2.125,9632.4371,9613.6779,9837.1508,9566.3163,27629792,29680420699
sh000092,资源50,3345.6342,23.929,0.72,3321.7056,3308.8809,3345.9046,3302.2351,21686929,24264674675
sh000093,180分层,10046.2883,141.574,1.429,9904.7146,9865.7743,10046.2883,9853.485,86566925,131836708230
sh000094,上证上游,2919.6943,14.599,0.503,2905.0954,2891.8466,2927.2244,2886.1231,21452519,21647642455
sh000095,上证中游,2545.9242,60.908,2.451,2485.0162,2474.1625,2545.9242,2469.0468,51553754,81285992337
sh000096,上证下游,4249.9703,33.315,0.79,4216.655,4194.6634,4249.9703,4191.5427,39447782,64778160908
sh000097,高端装备,7305.0566,181.969,2.555,7123.0872,7083.0337,7305.0566,7067.5845,19422182,47787695017
sh000098,上证F200,4475.9909,22.476,0.505,4453.5153,4439.4775,4480.3509,4435.6329,107318848,103619245949
sh000099,上证F300,7164.3005,114.419,1.623,7049.8818,7026.5531,7164.3005,7011.1065,71590808,74378755262
sh000100,上证F500,5021.2914,33.344,0.668,4987.9479,4972.1109,5021.2914,4967.1542,178909656,177998001211
sh000101,5年信用,235.0044,0.058,0.025,234.9466,234.9672,235.0047,234.9651,218220,196526166
sh000102,沪投资品,5445.3885,52.159,0.967,5393.2292,5364.5618,5445.3885,5357.5593,20520915,28667813761
sh000103,沪消费品,8491.4638,68.483,0.813,8422.9807,8385.9911,8491.4638,8371.4488,4804034,21495298469
sh000104,380能源,1805.733,8.312,0.462,1797.4212,1789.7554,1820.4487,1778.3148,4179441,4714827370
sh000105,380材料,3596.6462,36.176,1.016,3560.4706,3551.2771,3596.6462,3536.6407,6563148,5647904837
sh000106,380工业,4487.2988,70.332,1.592,4416.9665,4400.4136,4487.2988,4388.9668,17935438,20118696980
sh000107,380可选,5112.8908,79.053,1.57,5033.8377,5027.9503,5112.8908,5022.2693,2220794,4921758581
sh000108,380消费,12396.8394,120.56,0.982,12276.279,12215.1881,12396.8394,12201.0095,1567097,2206346445
sh000109,380医药,10623.3155,127.247,1.212,10496.0688,10456.7255,10623.3155,10420.7211,2439970,6305930790
sh000110,380金融,3018.294,17.24,0.574,3001.0537,2994.1655,3025.9718,2990.4541,8042086,5441617859
sh000111,380信息,5931.4758,251.17,4.422,5680.3056,5649.9555,5931.4758,5628.3951,4007315,12295922787
sh000112,380电信,4503.8008,194.724,4.519,4309.0769,4277.4217,4503.9438,4261.6649,4945097,10745626724
sh000113,380公用,2514.6716,27.926,1.123,2486.7455,2482.9302,2515.7475,2477.3461,3520445,2377810941
sh000114,持续产业,1253.1912,11.038,0.889,1242.1535,1237.6442,1253.1912,1235.2875,11044609,14699005581
sh000115,380等权,6736.8465,124.818,1.888,6612.0286,6592.0119,6736.8465,6571.7832,56729122,75950123955
sh000116,信用100,186.6799,-0.027,-0.015,186.7071,186.7211,186.7211,186.5486,280650,237854994
sh000117,380成长,3657.4976,76.083,2.124,3581.4149,3568.456,3657.4976,3558.5993,11731086,25641251759
sh000118,380价值,8503.326,59.267,0.702,8444.0586,8418.8914,8503.326,8406.2727,28387154,22857229020
sh000119,380R成长,3402.1092,77.981,2.346,3324.1277,3311.5941,3402.1092,3302.7418,33507457,58945738530
sh000120,380R价值,7563.0571,83.638,1.118,7479.4188,7455.4805,7563.0571,7443.6253,50163526,56161715791
sh000121,医药主题,8594.9158,106.934,1.26,8487.9822,8458.2096,8594.9158,8434.5213,4431068,14951299050
sh000122,农业主题,1558.1846,27.228,1.779,1530.9561,1527.8794,1558.1846,1520.3016,4533887,3434021382
sh000123,180动态,4808.7366,90.742,1.923,4717.9951,4691.653,4808.7366,4685.7778,39273905,71145581093
sh000125,180稳定,10140.3725,40.052,0.397,10100.3203,10066.8496,10140.3725,10058.9019,46912052,60552074330
sh000126,消费50,8181.7209,44.975,0.553,8136.7458,8088.2782,8182.0718,8084.7457,10356955,24895997301
sh000128,380基本,7392.0265,69.78,0.953,7322.2468,7304.067,7392.0265,7291.1642,56729122,75950123955
sh000129,180波动,12955.6116,75.93,0.59,12879.6819,12841.3234,12955.6116,12827.7216,51766885,58308781152
sh000130,380波动,11284.2827,89.119,0.796,11195.1634,11169.1508,11284.2827,11148.9427,25326456,16884816572
sh000131,上证高新,1826.1376,54.143,3.055,1771.9944,1761.9114,1828.0332,1749.4472,8005360,22737988829
