代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399318,国证Ｂ指,4593.665,14.525,0.317,4579.14,4581.127,4593.665,4571.477,37196100,189393515
sz399319,资源优势,2376.149,21.284,0.904,2354.865,2360.332,2376.149,2333.284,4664500839,43288684033
sz399320,国证服务,2070.46,19.348,0.943,2051.112,2049.455,2071.354,2045.643,3526513739,25904205152
sz399321,国证红利,6611.337,-8.125,-0.123,6619.462,6614.156,6634.278,6573.513,3235229012,36292086695
sz399322,国证治理,8202.529,17.176,0.21,8185.353,8181.669,8216.947,8128.529,2612732071,50801853827
sz399324,深证红利,8514.413,14.649,0.172,8499.764,8498.628,8534.539,8434.231,1880222188,21357609266
sz399326,成长40,3469.6,31.839,0.926,3437.761,3445.173,3478.272,3419.039,890216891,23768929385
sz399328,深证治理,9062.403,36.778,0.407,9025.625,9033.051,9077.843,8959.653,1076281116,27562577913
sz399330,深证100,4186.652,24.611,0.591,4162.041,4165.427,4194.134,4136.333,3660388093,88968862929
sz399333,中小100R,6771.699,91.133,1.364,6680.566,6687.767,6783.193,6665.668,3149784278,56274474800
sz399335,深证央企,3641.149,29.466,0.816,3611.683,3613.983,3648.28,3583.813,1331946077,20934694527
sz399337,深证民营,3876.994,40.504,1.056,3836.49,3842.174,3883.846,3818.644,2835632569,71943698271
sz399339,深证科技,5851.813,63.909,1.104,5787.904,5797.11,5864.232,5760.485,3165943204,86701298865
sz399341,深证责任,1482.865,5.262,0.356,1477.603,1477.878,1485.007,1465.091,2497138655,49704512666
sz399344,深证300R,5020.121,49.424,0.994,4970.697,4977.479,5029.04,4948.006,9192637340,172180438273
sz399346,深证成长,2673.999,26.21,0.99,2647.789,2649.528,2679.765,2638.729,2475791302,65849236180
sz399348,深证价值,5525.574,37.882,0.69,5487.692,5489.573,5528.454,5463.073,4197630043,44463162403
sz399350,皖江30,2216.725,33.095,1.516,2183.63,2190.144,2218.325,2177.617,1321158452,16068018800
sz399351,创新示范,7544.458,64.108,0.857,7480.35,7479.384,7552.561,7446.432,2858008438,49593317106
sz399352,深企综指,7082.366,65.965,0.94,7016.401,7015.499,7091.117,6986.368,6532124128,91376129418
sz399353,国证物流,1949.452,6.529,0.336,1942.923,1942.16,1951.64,1931.941,1081325345,8888564940
sz399354,分析师指数,6913.153,31.489,0.458,6881.664,6882.338,6920.653,6841.457,5031429267,112099982951
sz399355,长三角,2715.914,7.881,0.291,2708.033,2702.949,2719.865,2693.634,1058901732,23217303681
sz399356,珠三角,7957.36,27.612,0.348,7929.748,7926.968,7963.776,7879.746,1801754260,36535103863
sz399357,环渤海,2683.761,13.081,0.49,2670.68,2668.832,2684.999,2661.292,3501389819,36140026718
sz399358,国证环保,3959.934,41.995,1.072,3917.939,3916.377,3981.511,3912.82,1729016631,34313773372
sz399359,国证基建,2694.368,24.441,0.915,2669.927,2667.533,2696.033,2659.957,3142568008,21521460261
sz399360,新硬件,4258.131,71.958,1.719,4186.173,4193.597,4268.714,4165.398,3535086435,62591091058
sz399361,在线消费,2959.76,35.192,1.203,2924.568,2927.537,2970.055,2908.323,1876751992,22178203579
sz399362,民企100,5520.872,59.126,1.083,5461.746,5469.318,5530.767,5443.954,3150293577,92018113629
sz399363,国证算力,3948.896,127.269,3.33,3821.627,3860.535,3963.756,3817.125,2216347691,78330720336
sz399364,消费100,7495.731,57.449,0.772,7438.282,7445.011,7510.368,7394.162,3491951437,103698623309
sz399365,国证粮食,11660.632,30.598,0.263,11630.034,11623.969,11690.192,11533.11,588743416,6470548402
