序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
176,124,HSINTRI,恒生指数(NTR),52816.44,411.61,0.79,52564.52,53256.79,52564.52,52404.83,0.0,41817820160.0
177,124,HSSSHGO,恒生沪深港基因及肿瘤学指数,3879.03,30.22,0.79,3850.81,3904.64,3843.56,3848.81,0.0,10533926912.0
178,124,HSESG50,恒生ESG50指数,2338.18,18.21,0.78,2326.39,2353.28,2326.39,2319.97,0.0,13658171392.0
179,124,HSINOCC,恒指NTR5%价外备兑认购期权指数,9038.53,70.14,0.78,9030.42,9099.29,9011.95,8968.39,0.0,
180,124,HSTECHN,恒生科技指数净股息累计指数,3702.64,28.7,0.78,3675.72,3748.78,3675.72,3673.94,0.0,17285928448.0
181,124,HSTECH,恒生科技指数,3385.58,26.24,0.78,3360.96,3427.77,3360.96,3359.34,607687152.0,17285928448.0
182,124,HSTECHT,恒生科技指数股息累计指数,3703.42,28.7,0.78,3676.5,3749.58,3676.5,3674.72,0.0,17285928448.0
183,124,HSCAII,恒生A股(可投资)指数,1917.1,14.83,0.78,1903.08,1919.97,1894.71,1902.27,0.0,497092505600.0
184,124,HSCASUSB,恒生A股可持续发展企业基准指数,3860.25,29.7,0.78,3860.25,3860.25,3860.25,3830.55,0.0,96023408640.0
185,124,HSLMMCI,恒生大中型股动量全选指数,2686.58,20.66,0.77,2674.36,2703.93,2673.92,2665.92,0.0,51694137600.0
186,124,HSCAMSI,恒生A股动量智选指数,4143.08,31.84,0.77,4113.53,4147.48,4099.77,4111.24,0.0,261747466240.0
187,124,HSSCSSI,恒生沪深港通中国规模智选指数,3010.19,23.1,0.77,2990.67,3019.45,2982.09,2987.09,0.0,153924071424.0
188,124,HSILOWC,恒指低碳指数,4116.5,31.52,0.77,4098.39,4153.91,4098.39,4084.98,0.0,41817820160.0
189,124,HSCEIQHK,恒生国指港韩元汇率连动调控指数,778.75,5.93,0.77,778.75,778.75,778.75,772.82,0.0,
190,124,HSIQHK,恒指汇率连动港元韩元调控指数,1375.4,10.46,0.77,1375.4,1375.4,1375.4,1364.94,0.0,
191,124,HSIKRWH,恒指韩元对冲指数,681.73,5.18,0.77,681.73,681.73,681.73,676.55,0.0,
192,124,HSCEEURDH,恒生国指欧罗每日对冲指数,1414.14,10.73,0.76,1414.14,1414.14,1414.14,1403.41,0.0,
193,124,HSCEKRWH,恒生国指韩元对冲指数,457.62,3.47,0.76,457.62,457.62,457.62,454.15,0.0,
194,100,HSCEI,国企指数,5656.72,42.89,0.76,5624.84,5712.16,5624.84,5613.83,2602016096.0,33679941632.0
195,124,HSCEINTRI,恒生中国企业指数(NTR),12450.67,94.39,0.76,12380.52,12572.7,12380.52,12356.28,0.0,33679941632.0
196,124,HSCEIGTRI,恒生中国企业指数(GTR),13094.44,99.27,0.76,13020.66,13222.78,13020.66,12995.17,0.0,33679941632.0
197,124,HSCESI,恒生中国企业精明指数,8125.52,61.6,0.76,8079.74,8205.16,8079.74,8063.92,0.0,33679941632.0
198,124,HSIGBPH,恒指英镑对冲指数,625.71,4.74,0.76,625.71,625.71,625.71,620.97,0.0,
199,124,HSIEURDH,恒指欧罗每日对冲指数,1892.22,14.33,0.76,1892.22,1892.22,1892.22,1877.89,0.0,
200,124,HSCEGBPH,恒生国指英镑对冲指数,422.64,3.2,0.76,422.64,422.64,422.64,419.44,0.0,
201,124,HSCAQCI,恒生A股质量全选指数,3293.5,24.93,0.76,3269.64,3298.51,3255.39,3268.57,0.0,401561907200.0
202,124,HSCAYSI,恒生A股股息率智选指数,4187.2,31.68,0.76,4156.57,4190.94,4142.06,4155.52,0.0,251068817408.0
203,100,HSI,恒生指数,16353.39,123.61,0.76,16275.39,16489.73,16275.39,16229.78,10224562944.0,86687907840.0
204,124,HSCEEURH,恒生国指欧罗对冲指数,387.62,2.92,0.76,387.62,387.62,387.62,384.7,0.0,
205,124,HSIEURH,恒指欧罗对冲指数,572.67,4.31,0.76,572.67,572.67,572.67,568.36,0.0,
206,124,HSIOCC,恒指5%价外备兑认购期权指数,4804.41,36.14,0.76,4800.1,4836.71,4790.29,4768.27,0.0,
207,124,HSLI,恒生综合大型股指数,1488.66,11.19,0.76,1481.75,1500.41,1481.75,1477.47,3626726464.0,46747068672.0
208,125,H11123,香港内地50,1907.1,14.31,0.76,1897.95,1927.08,1897.95,1892.79,20351588.0,32386809600.0
209,124,HSSCVCI,恒生沪深港通中国价值全选指数,3459.71,25.96,0.76,3438.81,3470.62,3433.97,3433.75,0.0,264959582208.0
210,124,HSFML25,恒生中国内地25,5777.86,43.35,0.76,5745.85,5841.31,5745.85,5734.51,1768095504.0,22812290560.0
211,125,H11100,香港100,1438.76,10.77,0.75,1432.3,1451.21,1432.3,1427.99,32411040.0,44681268224.0
212,124,HSIJPYH,恒指日元对冲指数,561.97,4.2,0.75,561.97,561.97,561.97,557.77,0.0,
213,124,HSCEER,恒生国指每日重置额外回报指数,1350.0,10.07,0.75,1350.0,1350.0,1350.0,1339.93,0.0,
214,124,HSCEJPYH,恒生国指日圆对冲指数,383.85,2.86,0.75,383.85,383.85,383.85,380.99,0.0,
215,124,HSCEKHD,恒生国指净股息韩元对冲400逐减,4998.3,37.02,0.75,4998.3,4998.3,4998.3,4961.28,0.0,
216,124,HSCEKER,恒生国指韩每日重置额外回报指数,1267.04,9.37,0.75,1267.04,1267.04,1267.04,1257.67,0.0,
217,124,HSCEKDER,韩元每日重置3.25%递减,1091.84,8.02,0.74,1091.84,1091.84,1091.84,1083.82,0.0,
218,124,HSCAE,恒生A股能源业指数,5820.71,42.57,0.74,5778.57,5826.0,5690.17,5778.14,0.0,16747777536.0
219,125,CESHKM,中华香港内地指数,4391.83,31.98,0.73,4371.52,4438.65,4371.52,4359.85,18017377.0,30864011520.0
220,124,HSCEOCC,国指5%价外备兑认购期权指数,5030.21,36.6,0.73,5025.45,5069.77,5010.69,4993.61,0.0,
221,124,HSCENOCC,国指NTR5%价外备兑认购期权指数,8925.25,64.94,0.73,8916.8,8995.45,8890.61,8860.31,0.0,
222,124,HSCERMBH,恒生国指人民币对冲指数,488.07,3.55,0.73,488.07,488.07,488.07,484.52,0.0,
223,124,HSCAQSI,恒生A股质量智选指数,3431.68,24.95,0.73,3408.05,3436.3,3393.03,3406.73,0.0,270154498048.0
224,124,HSIRMBH,恒指人民币对冲指数,719.56,5.21,0.73,719.56,719.56,719.56,714.35,0.0,
225,124,HSH40,恒生H40参考指数,1971.04,14.25,0.73,1971.04,1971.04,1971.04,1956.79,0.0,14584427008.0
226,124,HSCASC,恒生A股特殊化工用品指数,3307.99,23.86,0.73,3280.17,3315.23,3272.41,3284.13,0.0,14122968832.0
227,125,H11152,内地民营,1024.07,7.23,0.71,1019.3,1037.8,1019.3,1016.84,6401818.0,22370645248.0
228,124,HSLMLCI,恒生大中型股低波幅全选指数,2512.04,17.7,0.71,2501.22,2529.15,2500.79,2494.34,0.0,51694137600.0
229,124,HSQGLV,恒生港股通质量成长低波动指数,3306.7,23.13,0.7,3293.19,3335.34,3293.19,3283.57,0.0,21849268224.0
230,124,HSRAICEI25,恒指风险调控-国企指数25%,9832.59,68.56,0.7,9832.59,9832.59,9832.59,9764.03,0.0,
