指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
创成长,29.06,13.12,4.65,3.78,0.98,95.01,399296.SZ,2019-01-23,2024-03-08
中证基建工程,6.83,13.91,0.72,6.09,3.02,92.18,399995.SZ,2015-03-12,2024-03-08
CS物流,11.89,13.95,1.25,4.43,3.4,86.24,930716.CSI,2015-07-31,2024-03-08
有色金属(申万),16.2,14.04,2.06,16.14,1.85,96.38,801050.SI,2003-10-16,2024-03-08
小盘指数(申万),22.56,14.46,1.59,3.98,1.55,95.36,801813.SI,1999-12-30,2024-03-08
中证中药,24.48,14.47,2.64,13.63,1.83,92.53,930641.CSI,2015-05-19,2024-03-08
50AH优选,8.53,14.72,0.96,6.39,3.63,95.26,950090.CSI,2015-12-10,2024-03-08
全指消费,27.11,14.89,5.11,52.54,2.37,98.1,000990.CSI,2011-08-02,2024-03-08
通信(申万),31.35,15.69,2.31,30.59,1.68,86.29,801770.SI,2014-02-21,2024-03-08
美容护理(申万),28.9,15.93,3.29,18.81,1.29,97.57,801980.SI,2021-12-13,2024-03-08
恒生中国企业指数,7.22,16.73,0.75,3.46,3.85,65.47,HSCEI.HI,1994-08-08,2024-03-08
全指医药,29.53,16.86,3.15,3.39,1.49,99.42,000991.SH,2011-08-02,2024-03-08
细分有色,16.6,16.9,2.15,22.94,1.82,95.92,000811.CSI,2012-04-11,2024-03-08
纺织服饰(申万),21.89,16.92,1.64,4.65,2.75,83.66,801130.SI,2003-10-16,2024-03-08
香港中小盘,10.75,16.92,0.86,6.06,4.42,94.16,SPHCMSHP.SPI,2005-12-16,2024-03-08
通信设备,28.46,17.2,3.34,40.12,1.35,88.99,931160.CSI,2013-07-15,2024-03-08
HKC科技(CNY),19.81,17.33,2.49,47.92,0.76,38.92,931573CNY00.CSI,2014-05-21,2024-03-08
疫苗生科,33.98,17.53,3.63,0.91,1.54,99.23,980015.CNI,2015-02-16,2024-03-08
细分食品,24.79,17.62,5.85,45.63,2.47,95.65,000815.CSI,2012-04-11,2024-03-08
380价值,8.47,17.78,1.01,19.59,4.53,89.95,000118.SH,2011-10-18,2024-03-08
