指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
物联网50,29.49,33.23,3.42,16.77,1.29,83.44,399285.SZ,2020-02-18,2024-03-08
券商Ⅱ(申万),20.21,33.32,1.15,4.12,1.42,56.1,801193.SI,2003-10-16,2024-03-08
公用事业(申万),20.16,33.43,1.56,30.79,1.99,48.17,801160.SI,2003-10-16,2024-03-08
SHS高股息(CNY),5.99,33.43,0.62,26.56,7.77,74.99,930917.CSI,2016-12-28,2024-03-08
中证红利,6.75,33.64,0.74,22.69,5.32,79.21,000922.CSI,2008-05-26,2024-03-08
基本面50,8.22,33.83,0.89,13.75,4.43,78.6,000925.CSI,2009-02-26,2024-03-08
中盘价值,11.51,33.88,1.4,58.95,3.64,92.51,399375.SZ,2010-01-04,2024-03-08
沪深300红利,6.7,34.35,0.74,21.87,5.25,79.58,000821.CSI,2012-07-20,2024-03-08
CS智汽车,39.04,34.63,3.03,5.84,0.72,70.26,930721.CSI,2015-08-05,2024-03-08
胡志明指数,13.85,35.03,1.61,1.77,2.15,49.33,VNINDEX.GI,2000-07-28,2024-03-08
日经225,17.99,35.44,2.14,97.21,2.26,97.87,N225.GI,1949-05-16,2024-03-08
商贸零售(申万),26.08,35.45,1.48,19.64,1.44,81.6,801200.SI,2003-10-16,2024-03-08
TMT50,34.57,35.54,2.98,8.68,1.13,84.96,399610.SZ,2010-11-08,2024-03-08
大盘价值,7.57,35.87,0.83,22.69,4.9,82.5,399373.SZ,2010-01-04,2024-03-08
轻工制造(申万),25.73,36.02,1.66,7.16,1.84,99.26,801140.SI,2003-10-16,2024-03-08
MSCI中国A股国际通实时(人民币),12.12,36.16,1.31,10.89,2.8,82.63,716567.CSI,2017-10-23,2024-03-08
MSCI中国A50互联互通,10.27,36.51,1.25,24.42,3.56,94.22,746059.MI,2021-09-17,2024-03-08
综合(申万),41.99,36.56,1.18,0.86,0.44,60.93,801230.SI,2003-10-16,2024-03-08
通信技术,33.76,36.9,3.43,47.24,0.87,85.52,931144.CSI,2019-05-30,2024-03-08
国企改革,12.21,37.07,1.39,23.98,3.12,81.0,399974.SZ,2014-08-07,2024-03-08
红利低波,6.23,37.4,0.7,27.06,5.47,71.08,h30269.CSI,2013-12-19,2024-03-08
大盘成长,16.45,37.42,2.51,42.69,2.46,88.6,399372.SZ,2010-01-04,2024-03-08
国证价值,8.52,37.49,0.92,22.54,4.46,84.47,399371.SZ,2010-01-04,2024-03-08
红利低波100,6.53,37.6,0.68,30.86,4.93,63.63,930955.CSI,2017-05-26,2024-03-08
全指材料,18.72,37.84,1.61,7.02,2.15,93.1,000987.SH,2011-08-02,2024-03-08
茅指数,18.39,37.99,3.27,33.31,2.1,72.16,8841415.WI,,2024-03-08
5G通信,31.15,38.21,3.21,29.79,1.09,73.87,931079.CSI,2019-04-25,2024-03-08
上证指数,13.09,38.41,1.26,7.85,2.76,88.04,000001.SH,1991-07-15,2024-03-08
传媒(申万),35.9,39.03,2.25,24.08,1.51,86.99,801760.SI,2014-02-21,2024-03-08
全指信息,50.11,40.02,3.26,13.74,0.86,90.26,000993.SH,2011-08-02,2024-03-08
CS计算机,53.21,40.29,3.57,7.98,0.86,86.68,930651.CSI,2015-06-05,2024-03-08
全指价值,7.98,41.43,0.86,27.78,4.75,84.17,000058.SH,2010-01-04,2024-03-08
红利质量,19.42,41.59,4.75,72.6,2.8,80.02,931468.CSI,2020-05-21,2024-03-08
房地产(申万),11.38,42.03,0.62,0.12,2.51,53.97,801180.SI,2003-10-16,2024-03-08
中证2000,58.86,42.03,1.92,14.49,1.03,82.61,932000.CSI,2023-08-11,2024-03-08
细分化工,21.09,42.5,2.08,17.76,1.81,80.42,000813.CSI,2012-04-11,2024-03-08
上证180,10.47,42.54,1.14,13.27,3.41,83.92,000010.SH,2002-07-01,2024-03-08
小盘价值,15.27,42.69,1.06,9.39,3.23,85.22,399377.SZ,2010-01-04,2024-03-08
中证央企红利,6.91,42.87,0.75,27.72,4.81,56.76,000825.CSI,,2024-03-08
300价值,8.06,43.45,0.88,25.34,4.63,81.6,000919.CSI,2008-01-21,2024-03-08
电子(申万),43.48,44.26,2.48,5.19,0.77,73.69,801080.SI,2003-10-16,2024-03-08
石油石化(申万),16.48,44.98,1.35,26.47,4.0,79.79,801960.SI,2021-12-13,2024-03-08
国企一带一路,12.74,45.56,1.74,69.26,2.99,53.08,000859.CSI,2019-05-16,2024-03-08
AH经济蓝筹,12.6,45.82,1.35,10.36,2.79,84.34,931134.CSI,2019-03-20,2024-03-08
300成长,14.85,46.24,2.46,46.69,2.17,84.11,000918.CSI,2008-01-21,2024-03-08
中证移动互联,40.5,46.54,2.99,4.05,1.04,83.74,399970.SZ,2014-05-05,2024-03-08
港股通高股息(CNY),5.15,46.75,0.49,44.3,8.36,69.49,930915.CSI,2016-11-25,2024-03-08
建筑材料(申万),16.29,47.39,1.11,0.54,2.88,89.67,801710.SI,2014-02-21,2024-03-08
证券公司,21.65,47.67,1.26,7.92,1.37,44.99,399975.SZ,2013-07-15,2024-03-08
上证50,9.99,47.97,1.14,14.25,3.92,85.95,000016.SH,2004-01-02,2024-03-08
500SNLV,19.23,48.44,1.37,28.44,2.24,75.29,930782.CSI,2016-02-04,2024-03-08
煤炭(申万),10.46,49.05,1.62,84.23,6.57,90.65,801950.SI,2021-12-13,2024-03-08
金融科技,52.27,49.47,3.47,5.7,0.7,84.87,930986.CSI,2017-06-22,2024-03-08
中特估指数,8.56,49.57,0.92,42.18,4.13,74.21,8841681.WI,,2024-03-08
科创50,48.18,49.6,3.61,3.28,1.03,96.11,000688.SH,2020-07-23,2024-03-08
计算机(申万),57.66,50.27,3.04,8.81,0.65,87.77,801750.SI,2014-02-21,2024-03-08
智能电车,18.32,50.56,2.96,55.71,1.15,41.78,H11052.CSI,2009-07-22,2024-03-08
CSSW证券,21.46,52.33,1.26,7.67,1.42,47.11,399707.SZ,2015-04-16,2024-03-08
机器人,52.32,52.49,3.65,44.97,0.67,59.97,H30590.CSI,2015-02-10,2024-03-08
深证F60,19.14,53.06,1.88,14.1,2.15,78.45,399701.SZ,2010-05-10,2024-03-08
央企创新,13.05,53.16,1.39,97.18,3.26,66.07,000861.CSI,,2024-03-08
180价值,7.78,53.57,0.84,27.72,4.92,81.29,000029.SH,2009-01-09,2024-03-08
CS智消费,25.15,55.21,2.67,10.94,1.53,41.82,930648.CSI,2015-06-05,2024-03-08
